scope,source_dataset,target_dataset,transfer_setting,direction,source_label,target_label,loss_mode,attack_train_fraction,attack_train_image_count,evaluation_attacked_image_count,noise_file,noise_tensor_key,artifact_sha256,protocol_split_sha256,evaluation_ids_source,apply_only_to_clean_label,keep_opposite_label_clean,image_size,epsilon,step_size,optimization_steps,application_order
dataset,mvtec,visa,cross_dataset,normal_to_abnormal,0,1,global,1.0,234,480,noises/mvtec/f1/perturbations/dataset__normal_to_abnormal__global.pt,delta,00e08abf9c5beaecee30e26f5850a7975a240ec34993c737ba62d344fc26c65d,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,visa,cross_dataset,normal_to_abnormal,0,1,local,1.0,234,480,noises/mvtec/f1/perturbations/dataset__normal_to_abnormal__local.pt,delta,4ea64e20420c106b17a5dc8246ec9d57e3f978a2a7ba98377038b13b65f86837,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,mvtec,cross_dataset,abnormal_to_normal,1,0,combined,1.0,600,628,noises/visa/f1/perturbations/dataset__abnormal_to_normal__combined.pt,delta,6b2fc7875ab793b7155f290aab51b52d66ccf76133bbcf9cb40a64a77e9466e5,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,mvtec,cross_dataset,abnormal_to_normal,1,0,global,1.0,600,628,noises/visa/f1/perturbations/dataset__abnormal_to_normal__global.pt,delta,e9b5d94446e745e496ce2e521706cc5d4b186ffacfed08d59bd3376180465f6e,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,mvtec,cross_dataset,abnormal_to_normal,1,0,local,1.0,600,628,noises/visa/f1/perturbations/dataset__abnormal_to_normal__local.pt,delta,690280aa4caa1162e61ea51dacc2f9566d00c6ac751201142ee30554796edc91,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,mvtec,cross_dataset,normal_to_abnormal,0,1,combined,1.0,482,233,noises/visa/f1/perturbations/dataset__normal_to_abnormal__combined.pt,delta,dc79b2dfc534c3ed2ed2801baedf672825dac447016a907c459c163536c8d6f6,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,mvtec,cross_dataset,normal_to_abnormal,0,1,global,1.0,482,233,noises/visa/f1/perturbations/dataset__normal_to_abnormal__global.pt,delta,dc6627b72a65f6a40621ed66564860fc3d9241e943d8f23de39f9741722b8f78,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,mvtec,cross_dataset,normal_to_abnormal,0,1,local,1.0,482,233,noises/visa/f1/perturbations/dataset__normal_to_abnormal__local.pt,delta,e8d54a44d9ab0a9a70fd95e3a19fd927459a7fd032ed1c6862b8d104478b80a8,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,visa,same_dataset,abnormal_to_normal,1,0,combined,1.0,600,600,noises/visa/f1/perturbations/dataset__abnormal_to_normal__combined.pt,delta,6b2fc7875ab793b7155f290aab51b52d66ccf76133bbcf9cb40a64a77e9466e5,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,visa,same_dataset,abnormal_to_normal,1,0,global,1.0,600,600,noises/visa/f1/perturbations/dataset__abnormal_to_normal__global.pt,delta,e9b5d94446e745e496ce2e521706cc5d4b186ffacfed08d59bd3376180465f6e,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,visa,same_dataset,abnormal_to_normal,1,0,local,1.0,600,600,noises/visa/f1/perturbations/dataset__abnormal_to_normal__local.pt,delta,690280aa4caa1162e61ea51dacc2f9566d00c6ac751201142ee30554796edc91,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,visa,same_dataset,normal_to_abnormal,0,1,combined,1.0,482,480,noises/visa/f1/perturbations/dataset__normal_to_abnormal__combined.pt,delta,dc79b2dfc534c3ed2ed2801baedf672825dac447016a907c459c163536c8d6f6,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,visa,same_dataset,normal_to_abnormal,0,1,global,1.0,482,480,noises/visa/f1/perturbations/dataset__normal_to_abnormal__global.pt,delta,dc6627b72a65f6a40621ed66564860fc3d9241e943d8f23de39f9741722b8f78,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,visa,visa,same_dataset,normal_to_abnormal,0,1,local,1.0,482,480,noises/visa/f1/perturbations/dataset__normal_to_abnormal__local.pt,delta,e8d54a44d9ab0a9a70fd95e3a19fd927459a7fd032ed1c6862b8d104478b80a8,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
