protocol_id,dataset,category,defect_type,label,partition,image_relative_path,mask_relative_path,attack_train_rank,attack_train_stratum_size,evaluation_rank,evaluation_stratum_size,split_seed,evaluation_fraction
test/cable/bent_wire/008,mvtec,cable,bent_wire,1,attack_train,cable/test/bent_wire/008.png,cable/ground_truth/bent_wire/008_mask.png,7,46,0,46,111,0.5
test/cable/bent_wire/009,mvtec,cable,bent_wire,1,attack_train,cable/test/bent_wire/009.png,cable/ground_truth/bent_wire/009_mask.png,29,46,0,46,111,0.5
test/cable/bent_wire/010,mvtec,cable,bent_wire,1,attack_train,cable/test/bent_wire/010.png,cable/ground_truth/bent_wire/010_mask.png,18,46,0,46,111,0.5
test/cable/cable_swap/002,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/002.png,cable/ground_truth/cable_swap/002_mask.png,1,46,0,46,111,0.5
test/cable/cable_swap/004,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/004.png,cable/ground_truth/cable_swap/004_mask.png,28,46,0,46,111,0.5
test/cable/cable_swap/006,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/006.png,cable/ground_truth/cable_swap/006_mask.png,9,46,0,46,111,0.5
test/cable/cable_swap/007,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/007.png,cable/ground_truth/cable_swap/007_mask.png,15,46,0,46,111,0.5
test/cable/cable_swap/008,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/008.png,cable/ground_truth/cable_swap/008_mask.png,12,46,0,46,111,0.5
test/cable/cable_swap/009,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/009.png,cable/ground_truth/cable_swap/009_mask.png,41,46,0,46,111,0.5
test/cable/cable_swap/010,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/010.png,cable/ground_truth/cable_swap/010_mask.png,21,46,0,46,111,0.5
test/cable/cable_swap/011,mvtec,cable,cable_swap,1,attack_train,cable/test/cable_swap/011.png,cable/ground_truth/cable_swap/011_mask.png,11,46,0,46,111,0.5
test/cable/combined/001,mvtec,cable,combined,1,attack_train,cable/test/combined/001.png,cable/ground_truth/combined/001_mask.png,20,46,0,46,111,0.5
test/cable/combined/003,mvtec,cable,combined,1,attack_train,cable/test/combined/003.png,cable/ground_truth/combined/003_mask.png,33,46,0,46,111,0.5
test/cable/combined/004,mvtec,cable,combined,1,attack_train,cable/test/combined/004.png,cable/ground_truth/combined/004_mask.png,4,46,0,46,111,0.5
test/cable/combined/010,mvtec,cable,combined,1,attack_train,cable/test/combined/010.png,cable/ground_truth/combined/010_mask.png,23,46,0,46,111,0.5
test/cable/cut_inner_insulation/002,mvtec,cable,cut_inner_insulation,1,attack_train,cable/test/cut_inner_insulation/002.png,cable/ground_truth/cut_inner_insulation/002_mask.png,13,46,0,46,111,0.5
test/cable/cut_inner_insulation/003,mvtec,cable,cut_inner_insulation,1,attack_train,cable/test/cut_inner_insulation/003.png,cable/ground_truth/cut_inner_insulation/003_mask.png,36,46,0,46,111,0.5
test/cable/cut_inner_insulation/008,mvtec,cable,cut_inner_insulation,1,attack_train,cable/test/cut_inner_insulation/008.png,cable/ground_truth/cut_inner_insulation/008_mask.png,39,46,0,46,111,0.5
test/cable/cut_inner_insulation/009,mvtec,cable,cut_inner_insulation,1,attack_train,cable/test/cut_inner_insulation/009.png,cable/ground_truth/cut_inner_insulation/009_mask.png,24,46,0,46,111,0.5
test/cable/cut_inner_insulation/010,mvtec,cable,cut_inner_insulation,1,attack_train,cable/test/cut_inner_insulation/010.png,cable/ground_truth/cut_inner_insulation/010_mask.png,25,46,0,46,111,0.5
test/cable/cut_outer_insulation/000,mvtec,cable,cut_outer_insulation,1,attack_train,cable/test/cut_outer_insulation/000.png,cable/ground_truth/cut_outer_insulation/000_mask.png,31,46,0,46,111,0.5
test/cable/cut_outer_insulation/001,mvtec,cable,cut_outer_insulation,1,attack_train,cable/test/cut_outer_insulation/001.png,cable/ground_truth/cut_outer_insulation/001_mask.png,22,46,0,46,111,0.5
test/cable/cut_outer_insulation/002,mvtec,cable,cut_outer_insulation,1,attack_train,cable/test/cut_outer_insulation/002.png,cable/ground_truth/cut_outer_insulation/002_mask.png,34,46,0,46,111,0.5
test/cable/cut_outer_insulation/005,mvtec,cable,cut_outer_insulation,1,attack_train,cable/test/cut_outer_insulation/005.png,cable/ground_truth/cut_outer_insulation/005_mask.png,45,46,0,46,111,0.5
test/cable/cut_outer_insulation/006,mvtec,cable,cut_outer_insulation,1,attack_train,cable/test/cut_outer_insulation/006.png,cable/ground_truth/cut_outer_insulation/006_mask.png,42,46,0,46,111,0.5
test/cable/cut_outer_insulation/008,mvtec,cable,cut_outer_insulation,1,attack_train,cable/test/cut_outer_insulation/008.png,cable/ground_truth/cut_outer_insulation/008_mask.png,5,46,0,46,111,0.5
test/cable/missing_cable/003,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/003.png,cable/ground_truth/missing_cable/003_mask.png,30,46,0,46,111,0.5
test/cable/missing_cable/004,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/004.png,cable/ground_truth/missing_cable/004_mask.png,19,46,0,46,111,0.5
test/cable/missing_cable/005,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/005.png,cable/ground_truth/missing_cable/005_mask.png,38,46,0,46,111,0.5
test/cable/missing_cable/006,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/006.png,cable/ground_truth/missing_cable/006_mask.png,43,46,0,46,111,0.5
test/cable/missing_cable/009,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/009.png,cable/ground_truth/missing_cable/009_mask.png,6,46,0,46,111,0.5
test/cable/missing_cable/010,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/010.png,cable/ground_truth/missing_cable/010_mask.png,17,46,0,46,111,0.5
test/cable/missing_cable/011,mvtec,cable,missing_cable,1,attack_train,cable/test/missing_cable/011.png,cable/ground_truth/missing_cable/011_mask.png,35,46,0,46,111,0.5
test/cable/missing_wire/002,mvtec,cable,missing_wire,1,attack_train,cable/test/missing_wire/002.png,cable/ground_truth/missing_wire/002_mask.png,37,46,0,46,111,0.5
test/cable/missing_wire/007,mvtec,cable,missing_wire,1,attack_train,cable/test/missing_wire/007.png,cable/ground_truth/missing_wire/007_mask.png,8,46,0,46,111,0.5
test/cable/missing_wire/008,mvtec,cable,missing_wire,1,attack_train,cable/test/missing_wire/008.png,cable/ground_truth/missing_wire/008_mask.png,27,46,0,46,111,0.5
test/cable/poke_insulation/000,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/000.png,cable/ground_truth/poke_insulation/000_mask.png,2,46,0,46,111,0.5
test/cable/poke_insulation/001,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/001.png,cable/ground_truth/poke_insulation/001_mask.png,46,46,0,46,111,0.5
test/cable/poke_insulation/002,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/002.png,cable/ground_truth/poke_insulation/002_mask.png,16,46,0,46,111,0.5
test/cable/poke_insulation/003,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/003.png,cable/ground_truth/poke_insulation/003_mask.png,10,46,0,46,111,0.5
test/cable/poke_insulation/004,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/004.png,cable/ground_truth/poke_insulation/004_mask.png,26,46,0,46,111,0.5
test/cable/poke_insulation/006,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/006.png,cable/ground_truth/poke_insulation/006_mask.png,40,46,0,46,111,0.5
test/cable/poke_insulation/007,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/007.png,cable/ground_truth/poke_insulation/007_mask.png,44,46,0,46,111,0.5
test/cable/poke_insulation/008,mvtec,cable,poke_insulation,1,attack_train,cable/test/poke_insulation/008.png,cable/ground_truth/poke_insulation/008_mask.png,32,46,0,46,111,0.5
test/capsule/good/000,mvtec,capsule,good,0,attack_train,capsule/test/good/000.png,,3,11,0,12,111,0.5
test/capsule/good/001,mvtec,capsule,good,0,attack_train,capsule/test/good/001.png,,5,11,0,12,111,0.5
test/capsule/good/002,mvtec,capsule,good,0,attack_train,capsule/test/good/002.png,,7,11,0,12,111,0.5
test/capsule/good/005,mvtec,capsule,good,0,attack_train,capsule/test/good/005.png,,6,11,0,12,111,0.5
test/capsule/good/007,mvtec,capsule,good,0,attack_train,capsule/test/good/007.png,,2,11,0,12,111,0.5
test/capsule/good/010,mvtec,capsule,good,0,attack_train,capsule/test/good/010.png,,9,11,0,12,111,0.5
test/capsule/good/012,mvtec,capsule,good,0,attack_train,capsule/test/good/012.png,,1,11,0,12,111,0.5
test/capsule/good/013,mvtec,capsule,good,0,attack_train,capsule/test/good/013.png,,10,11,0,12,111,0.5
test/capsule/good/015,mvtec,capsule,good,0,attack_train,capsule/test/good/015.png,,8,11,0,12,111,0.5
test/capsule/good/016,mvtec,capsule,good,0,attack_train,capsule/test/good/016.png,,4,11,0,12,111,0.5
test/capsule/good/022,mvtec,capsule,good,0,attack_train,capsule/test/good/022.png,,11,11,0,12,111,0.5
test/capsule/crack/000,mvtec,capsule,crack,1,attack_train,capsule/test/crack/000.png,capsule/ground_truth/crack/000_mask.png,55,55,0,54,111,0.5
test/capsule/crack/001,mvtec,capsule,crack,1,attack_train,capsule/test/crack/001.png,capsule/ground_truth/crack/001_mask.png,24,55,0,54,111,0.5
test/capsule/crack/002,mvtec,capsule,crack,1,attack_train,capsule/test/crack/002.png,capsule/ground_truth/crack/002_mask.png,54,55,0,54,111,0.5
test/capsule/crack/003,mvtec,capsule,crack,1,attack_train,capsule/test/crack/003.png,capsule/ground_truth/crack/003_mask.png,17,55,0,54,111,0.5
test/capsule/crack/007,mvtec,capsule,crack,1,attack_train,capsule/test/crack/007.png,capsule/ground_truth/crack/007_mask.png,47,55,0,54,111,0.5
test/capsule/crack/009,mvtec,capsule,crack,1,attack_train,capsule/test/crack/009.png,capsule/ground_truth/crack/009_mask.png,8,55,0,54,111,0.5
test/capsule/crack/010,mvtec,capsule,crack,1,attack_train,capsule/test/crack/010.png,capsule/ground_truth/crack/010_mask.png,14,55,0,54,111,0.5
test/capsule/crack/011,mvtec,capsule,crack,1,attack_train,capsule/test/crack/011.png,capsule/ground_truth/crack/011_mask.png,5,55,0,54,111,0.5
test/capsule/crack/013,mvtec,capsule,crack,1,attack_train,capsule/test/crack/013.png,capsule/ground_truth/crack/013_mask.png,18,55,0,54,111,0.5
test/capsule/crack/015,mvtec,capsule,crack,1,attack_train,capsule/test/crack/015.png,capsule/ground_truth/crack/015_mask.png,52,55,0,54,111,0.5
test/capsule/crack/016,mvtec,capsule,crack,1,attack_train,capsule/test/crack/016.png,capsule/ground_truth/crack/016_mask.png,22,55,0,54,111,0.5
test/capsule/crack/017,mvtec,capsule,crack,1,attack_train,capsule/test/crack/017.png,capsule/ground_truth/crack/017_mask.png,10,55,0,54,111,0.5
test/capsule/crack/019,mvtec,capsule,crack,1,attack_train,capsule/test/crack/019.png,capsule/ground_truth/crack/019_mask.png,35,55,0,54,111,0.5
test/capsule/crack/020,mvtec,capsule,crack,1,attack_train,capsule/test/crack/020.png,capsule/ground_truth/crack/020_mask.png,7,55,0,54,111,0.5
test/capsule/faulty_imprint/001,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/001.png,capsule/ground_truth/faulty_imprint/001_mask.png,20,55,0,54,111,0.5
test/capsule/faulty_imprint/006,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/006.png,capsule/ground_truth/faulty_imprint/006_mask.png,25,55,0,54,111,0.5
test/capsule/faulty_imprint/009,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/009.png,capsule/ground_truth/faulty_imprint/009_mask.png,39,55,0,54,111,0.5
test/capsule/faulty_imprint/010,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/010.png,capsule/ground_truth/faulty_imprint/010_mask.png,4,55,0,54,111,0.5
test/capsule/faulty_imprint/011,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/011.png,capsule/ground_truth/faulty_imprint/011_mask.png,44,55,0,54,111,0.5
test/capsule/faulty_imprint/012,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/012.png,capsule/ground_truth/faulty_imprint/012_mask.png,32,55,0,54,111,0.5
test/capsule/faulty_imprint/015,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/015.png,capsule/ground_truth/faulty_imprint/015_mask.png,9,55,0,54,111,0.5
test/capsule/faulty_imprint/019,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/019.png,capsule/ground_truth/faulty_imprint/019_mask.png,34,55,0,54,111,0.5
test/capsule/faulty_imprint/020,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/020.png,capsule/ground_truth/faulty_imprint/020_mask.png,3,55,0,54,111,0.5
test/capsule/faulty_imprint/021,mvtec,capsule,faulty_imprint,1,attack_train,capsule/test/faulty_imprint/021.png,capsule/ground_truth/faulty_imprint/021_mask.png,42,55,0,54,111,0.5
test/capsule/poke/000,mvtec,capsule,poke,1,attack_train,capsule/test/poke/000.png,capsule/ground_truth/poke/000_mask.png,50,55,0,54,111,0.5
test/capsule/poke/004,mvtec,capsule,poke,1,attack_train,capsule/test/poke/004.png,capsule/ground_truth/poke/004_mask.png,48,55,0,54,111,0.5
test/capsule/poke/005,mvtec,capsule,poke,1,attack_train,capsule/test/poke/005.png,capsule/ground_truth/poke/005_mask.png,30,55,0,54,111,0.5
test/capsule/poke/007,mvtec,capsule,poke,1,attack_train,capsule/test/poke/007.png,capsule/ground_truth/poke/007_mask.png,27,55,0,54,111,0.5
test/capsule/poke/009,mvtec,capsule,poke,1,attack_train,capsule/test/poke/009.png,capsule/ground_truth/poke/009_mask.png,15,55,0,54,111,0.5
test/capsule/poke/011,mvtec,capsule,poke,1,attack_train,capsule/test/poke/011.png,capsule/ground_truth/poke/011_mask.png,38,55,0,54,111,0.5
test/capsule/poke/012,mvtec,capsule,poke,1,attack_train,capsule/test/poke/012.png,capsule/ground_truth/poke/012_mask.png,23,55,0,54,111,0.5
test/capsule/poke/014,mvtec,capsule,poke,1,attack_train,capsule/test/poke/014.png,capsule/ground_truth/poke/014_mask.png,28,55,0,54,111,0.5
test/capsule/poke/015,mvtec,capsule,poke,1,attack_train,capsule/test/poke/015.png,capsule/ground_truth/poke/015_mask.png,49,55,0,54,111,0.5
test/capsule/poke/017,mvtec,capsule,poke,1,attack_train,capsule/test/poke/017.png,capsule/ground_truth/poke/017_mask.png,53,55,0,54,111,0.5
test/capsule/poke/020,mvtec,capsule,poke,1,attack_train,capsule/test/poke/020.png,capsule/ground_truth/poke/020_mask.png,46,55,0,54,111,0.5
test/capsule/scratch/000,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/000.png,capsule/ground_truth/scratch/000_mask.png,37,55,0,54,111,0.5
test/capsule/scratch/001,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/001.png,capsule/ground_truth/scratch/001_mask.png,40,55,0,54,111,0.5
test/capsule/scratch/002,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/002.png,capsule/ground_truth/scratch/002_mask.png,26,55,0,54,111,0.5
test/capsule/scratch/005,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/005.png,capsule/ground_truth/scratch/005_mask.png,16,55,0,54,111,0.5
test/capsule/scratch/007,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/007.png,capsule/ground_truth/scratch/007_mask.png,45,55,0,54,111,0.5
test/capsule/scratch/008,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/008.png,capsule/ground_truth/scratch/008_mask.png,6,55,0,54,111,0.5
test/capsule/scratch/010,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/010.png,capsule/ground_truth/scratch/010_mask.png,2,55,0,54,111,0.5
test/capsule/scratch/011,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/011.png,capsule/ground_truth/scratch/011_mask.png,13,55,0,54,111,0.5
test/capsule/scratch/012,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/012.png,capsule/ground_truth/scratch/012_mask.png,51,55,0,54,111,0.5
test/capsule/scratch/019,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/019.png,capsule/ground_truth/scratch/019_mask.png,41,55,0,54,111,0.5
test/capsule/scratch/021,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/021.png,capsule/ground_truth/scratch/021_mask.png,1,55,0,54,111,0.5
test/capsule/scratch/022,mvtec,capsule,scratch,1,attack_train,capsule/test/scratch/022.png,capsule/ground_truth/scratch/022_mask.png,33,55,0,54,111,0.5
test/capsule/squeeze/002,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/002.png,capsule/ground_truth/squeeze/002_mask.png,29,55,0,54,111,0.5
test/capsule/squeeze/007,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/007.png,capsule/ground_truth/squeeze/007_mask.png,11,55,0,54,111,0.5
test/capsule/squeeze/009,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/009.png,capsule/ground_truth/squeeze/009_mask.png,21,55,0,54,111,0.5
test/capsule/squeeze/010,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/010.png,capsule/ground_truth/squeeze/010_mask.png,12,55,0,54,111,0.5
test/capsule/squeeze/012,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/012.png,capsule/ground_truth/squeeze/012_mask.png,36,55,0,54,111,0.5
test/capsule/squeeze/014,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/014.png,capsule/ground_truth/squeeze/014_mask.png,19,55,0,54,111,0.5
test/capsule/squeeze/016,mvtec,capsule,squeeze,1,attack_train,capsule/test/squeeze/016.png,capsule/ground_truth/squeeze/016_mask.png,31,55,0,54,111,0.5
